election_date,winning_party,primary vote,2pp_vote_win,alp_2pp,lnp_2pp,2pp_swing,eden_winning,eden_mon_vote,eden_2pp_vote_win,eden_alp_2pp,eden_lnp_2pp,eden_2pp_swing,eden_federal_check,robertson_winning
1943,alp,49.9,58.2,58.2,0,,alp,48.9,55.4,55.4,0,,1,alp
1946,alp,49.7,54.1,54.1,0,,alp,50.2,52.7,52.7,0,,1,alp
1949,lnp,50.3,51,0,51,,alp,50.9,50.9,50.9,0,,0,lnp
1951,lnp,50.3,50.7,0,50.7,,alp,51,51,51,0,,0,lnp
1954,lnp,50,50.7,50.7,0,,alp,52.1,52.1,52.1,0,,1,lnp
1955,lnp,47.6,54.2,0,54.2,,alp,52.9,55.1,55.1,0,,0,lnp
1958,lnp,46.6,54.1,0,54.1,,alp,53.7,55.6,55.6,0,,0,lnp
1961,lnp,47.9,50.5,50.5,0,,alp,60,60,60,0,,1,lnp
1963,lnp,46,53.6,0,53.6,,alp,51,52.7,52.7,0,,0,lnp
1966,lnp,50,56.9,0,56.9,,lnp,40.8,50.7,0,50.7,,1,lnp
1969,lnp,47,50.2,50.2,0,,alp,51.2,53.2,53.2,0,,1,alp
1972,alp,49.6,52.7,52.7,0,,alp,47.6,50.5,50.5,0,,1,alp
1974,alp,49.3,51.7,51.7,0,,alp,48.8,50.1,50.1,0,,1,alp
1975,lnp,53.1,55.7,0,55.7,,lnp,35.3,55.5,0,55.5,,1,alp
1977,lnp,48.1,54.6,0,54.6,,lnp,51.7,55.9,0,55.9,,1,alp
1980,lnp,46.3,50.4,0,50.4,,lnp,49.8,52.8,0,52.8,,1,alp
1983,alp,49.5,53.2,53.2,0,,alp,49.1,51.6,51.6,0,,1,alp
1984,alp,47.6,51.8,51.8,0,,alp,47.2,52,52,0,,1,alp
1987,alp,45.8,50.8,50.8,0,,alp,48.4,54.4,54.4,0,,1,alp
1990,alp,43.5,50.1,0,50.1,,alp,41.8,54.3,54.3,0,,0,alp
1993,alp,44.9,51.4,51.4,0,,alp,47.2,54.28,54.28,0,,1,alp
1996,lnp,47.3,53.6,0,53.6,,lnp,45.95,54.76,0,54.76,,1,lnp
1998,lnp,40.1,51,51,0,,lnp,43.25,50.18,0,50.18,,0,lnp
2001,lnp,43,51,0,51,,lnp,41.8,51.69,0,51.69,,1,lnp
2004,lnp,46.7,52.7,0,52.7,,lnp,48.48,52.14,0,52.14,,1,lnp
2007,alp,43.4,52.7,52.7,0,,alp,44.56,53.4,53.4,0,,1,alp
2010,alp,38,50.1,50.1,0,,alp,43.61,54.24,54.24,0,,1,alp
2013,lnp,45.6,53.5,0,53.5,,lnp,54.27,50.61,0,50.61,,1,lnp
2016,lnp,42,50.4,0,50.4,,alp,41.88,52.93,52.93,0,,0,lnp
2019,lnp,41.4,51.5,0,51.5,,alp,39.17,50.85,50.85,0,,0,lnp
