index,date,Adult
0,2018-01-01,13235079
1,2018-02-01,13708113
2,2018-03-01,15249021
3,2018-04-01,13785749
4,2018-05-01,15389821
5,2018-06-01,13694152
6,2018-07-01,14245443
7,2018-08-01,15234825
8,2018-09-01,14110578
9,2018-10-01,15320254
10,2018-11-01,15727813
11,2018-12-01,13706085
12,2019-01-01,14347975
13,2019-02-01,15002680
14,2019-03-01,16397415
15,2019-04-01,14536551
16,2019-05-01,16369252
17,2019-06-01,14108177
18,2019-07-01,15377880
19,2019-08-01,15448910
20,2019-09-01,14788687
21,2019-10-01,14848623
22,2019-11-01,14315500
23,2019-12-01,12365457
24,2020-01-01,12062358
25,2020-02-01,12232837
26,2020-03-01,9077703
27,2020-04-01,2888587
28,2020-05-01,3946916
29,2020-06-01,5087451
30,2020-07-01,5746297
31,2020-08-01,5392272
32,2020-09-01,5614359
33,2020-10-01,5770558
34,2020-11-01,5932669
35,2020-12-01,5511652
36,2021-01-01,4945183
37,2021-02-01,5683348
38,2021-03-01,6415785
39,2021-04-01,6013493
40,2021-05-01,6262455
41,2021-06-01,5260338
42,2021-07-01,2147868
43,2021-08-01,1838385
