,date,value2,value1
0,2018-01-01,1112314,13235079
1,2018-02-01,902195,13708113
2,2018-03-01,977515,15249021
3,2018-04-01,982513,13785749
4,2018-05-01,828410,15389821
5,2018-06-01,769271,13694152
6,2018-07-01,842678,14245443
7,2018-08-01,756150,15234825
8,2018-09-01,781681,14110578
9,2018-10-01,761780,15320254
10,2018-11-01,890859,15727813
11,2018-12-01,1019143,13706085
12,2019-01-01,1027527,14347975
13,2019-02-01,876044,15002680
14,2019-03-01,891646,16397415
15,2019-04-01,917392,14536551
16,2019-05-01,787055,16369252
17,2019-06-01,756440,14108177
18,2019-07-01,790593,15377880
19,2019-08-01,724780,15448910
20,2019-09-01,748378,14788687
21,2019-10-01,782712,14848623
22,2019-11-01,754173,14315500
23,2019-12-01,830422,12365457
24,2020-01-01,803124,12062358
25,2020-02-01,594851,12232837
26,2020-03-01,379294,9077703
27,2020-04-01,46951,2888587
28,2020-05-01,101720,3946916
29,2020-06-01,177637,5087451
30,2020-07-01,202450,5746297
31,2020-08-01,170746,5392272
32,2020-09-01,192004,5614359
33,2020-10-01,232826,5770558
34,2020-11-01,219061,5932669
35,2020-12-01,197131,5511652
36,2021-01-01,211318,4945183
37,2021-02-01,218010,5683348
38,2021-03-01,237686,6415785
39,2021-04-01,340228,6013493
40,2021-05-01,246613,6262455
41,2021-06-01,185678,5260338
42,2021-07-01,30457,2147868
43,2021-08-01,22048,1838385
