date,value
2018-01-01,20138731
2018-02-01,20778812
2018-03-01,23654421
2018-04-01,21633186
2018-05-01,24912016
2018-06-01,22681754
2018-07-01,23255496
2018-08-01,24485310
2018-09-01,22846312
2018-10-01,23770594
2018-11-01,24048686
2018-12-01,20643109
2019-01-01,20682659
2019-02-01,21568177
2019-03-01,23887724
2019-04-01,21623364
2019-05-01,24662159
2019-06-01,21726113
2019-07-01,23353152
2019-08-01,23166102
2019-09-01,22204804
2019-10-01,22375014
2019-11-01,21441816
2019-12-01,18932450
2020-01-01,18202609
2020-02-01,18128652
2020-03-01,13398245
2020-04-01,4008102
2020-05-01,5608518
2020-06-01,7657404
2020-07-01,8689643
2020-08-01,7900689
2020-09-01,8407690
2020-10-01,8760781
2020-11-01,9035703
2020-12-01,8412556
2021-01-01,7161561
2021-02-01,8814706
2021-03-01,10149614
2021-04-01,9829778
2021-05-01,10066050
2021-06-01,8390099
2021-07-01,3035258
2021-08-01,2465782
